target_code,word,cats,pos,definition
112,범용인공지능,AI/컴퓨터과학,명사,인간처럼 다양한 분야에서 지능적으로 작업을 수행할 수 있는 AI 시스템
113,범죄학,사회학/법학,명사,범죄의 원인 결과 예방을 연구하는 학문
114,법칙,과학/법학,명사,자연이나 사회에서 일관되게 관찰되는 규칙이나 원리
115,변수,수학/컴퓨터과학,명사,값이 변할 수 있는 수학적 기호나 컴퓨터 메모리 위치
116,변이,생물학,명사,유전적 특성의 변화
117,병렬처리,컴퓨터과학,명사,여러 연산을 동시에 수행하는 계산 방식
118,보안,컴퓨터과학/정보,명사,정보나 시스템을 무단 접근이나 손상으로부터 보호하는 상태나 조치
119,보험,경제/금융,명사,위험 발생 시 경제적 손실을 보상받기 위한 재정적 계약
120,복리,경제/금융,명사,원금과 이자에 대해 이자가 계속 누적되는 이자 계산 방식
121,복잡성,수학/컴퓨터과학,명사,시스템이나 문제의 복잡한 정도나 알고리즘이 소요하는 자원의 양
122,복제,생물학/유전학,명사,생물체나 세포가 자신과 동일한 유전 정보를 가진 복사본을 만드는 과정
123,본질,철학,명사,사물이나 개념의 가장 기본적이고 필수적인 성질
124,부가가치,경제,명사,제품이나 서비스의 가치에서 투입된 중간재 가치를 뺀 새로운 가치
125,부동산,경제/금융,명사,토지와 그 위에 있는 건물 및 구조물
126,부작용,의학/약학,명사,의약품이나 치료의 주요 효과 외에 발생하는 원치 않는 효과
127,부채,경제/금융,명사,미래에 갚아야 할 금전적 의무
128,분권화,정치/조직,명사,중앙 권력이나 권한을 여러 하위 단위로 분산시키는 과정
129,분류,생물학/정보학,명사,사물이나 개념을 특성에 따라 그룹으로 나누는 과정
130,분모,수학,명사,분수에서 나누는 수
131,분산,통계학,명사,데이터가 평균에서 얼마나 퍼져 있는지를 측정하는 값
132,분석,과학/논리학,명사,복잡한 대상을 구성 요소로 분해하여 검토하는 과정
133,분자,화학/물리학,명사,원자들이 화학적으로 결합한 가장 작은 단위
134,분포,통계학,명사,데이터나 확률변수의 값들이 나타나는 패턴
135,불확실성,통계학/경제학,명사,결과나 상태를 정확히 예측할 수 없는 상황
136,브랜드,마케팅/경영,명사,제품이나 서비스를 식별하고 차별화하는 이름 디자인 상징 등
137,비동기,컴퓨터과학,명사,작업이 동시에 진행되지 않고 각자 독립적으로 진행되는 방식
138,비율,수학,명사,두 수량의 상대적 크기를 나타내는 관계
139,비선형,수학/물리학,명사,입력과 출력 사이의 관계가 직선으로 표현되지 않는 특성
140,비용편익분석,경제/의사결정,명사,특정 행동이나 프로젝트의 비용과 이익을 비교하는 분석 방법
141,비트코인,금융/기술,명사,탈중앙화된 디지털 암호화폐
142,빅데이터,컴퓨터과학/정보학,명사,전통적인 데이터 처리 소프트웨어로 처리하기 어려운 대량의 데이터
143,사물인터넷,기술/컴퓨터과학,명사,일상의 사물들이 인터넷에 연결되어 데이터를 주고받는 기술
144,사회계약론,철학/정치학,명사,개인이 국가나 사회의 규칙에 동의함으로써 정치적 의무가 발생한다는 이론
145,사회적 자본,사회학/경제학,명사,사회적 네트워크와 관계에서 발생하는 가치와 자원
146,사회정의,윤리학/정치학,명사,자원 권리 기회의 공정한 분배에 관한 개념
147,산도,화학,명사,용액의 수소 이온 농도를 측정하는 척도
148,산소,화학/생물학,명사,원자번호 8번의 원소로 생물의 호흡에 필수적인 기체
149,산업혁명,역사/경제학,명사,18-19세기에 일어난 제조업과 기술의 급격한 변화
150,상관관계,통계학,명사,두 변수 간의 통계적 관계
151,상대성이론,물리학,명사,공간 시간 중력에 관한 아인슈타인의 이론
152,상대적 빈곤,경제학/사회학,명사,사회의 평균 생활 수준에 비해 현저히 낮은 생활 수준
153,상속,법학/프로그래밍,명사,한 객체나 클래스가 다른 객체나 클래스의 속성과 방법을 가져오는 메커니즘
154,상수,수학/컴퓨터과학,명사,값이 변하지 않는 수량
155,상징,문화/언어학,명사,추상적인 개념이나 아이디어를 나타내는 구체적인 표현
156,상태,물리학/컴퓨터과학,명사,시스템이나 객체의 현재 조건이나 속성
157,새로고침,컴퓨터과학,명사,웹 페이지나 디스플레이를 최신 상태로 업데이트하는 동작
158,생명윤리,윤리학/생물학,명사,생명과학과 의학적 진보와 관련된 윤리적 문제를 다루는 학문
159,생물다양성,생물학/환경학,명사,생물 종의 다양성과 생태계의 변이성
160,생산성,경제/경영,명사,투입 대비 산출의 효율성
161,생산함수,경제학,명사,투입 요소와 생산량 사이의 관계를 나타내는 함수
162,생태계,생물학/환경학,명사,생물 공동체와 그들의 물리적 환경 사이의 상호작용 시스템
163,생텍스,생물학/화학,명사,생물체 내에서 복합 유기 화합물을 합성하는 과정
164,서버,컴퓨터과학,명사,네트워크를 통해 다른 컴퓨터나 프로그램에 서비스를 제공하는 컴퓨터 프로그램이나 장치
165,서비스업,경제,명사,유형의 제품보다는 무형의 서비스를 제공하는 산업 분야
166,석유,에너지/지질학,명사,화석 연료의 일종으로 액체 탄화수소의 혼합물
167,선거,정치,명사,투표를 통해 대표자나 공직자를 선출하는 공식적인 과정
168,선형대수학,수학,명사,벡터 공간 선형 변환 행렬 등을 연구하는 수학의 한 분야
169,선형회귀,통계학,명사,종속 변수와 하나 이상의 독립 변수 간의 선형 관계를 모델링하는 통계적 방법
170,선형확률모형,통계학/계량경제학,명사,종속 변수가 이항 변수일 때 사용되는 선형 회귀 모형
171,선호도,경제학/심리학,명사,여러 대안 중에서 개인이 어떤 것을 더 좋아하는 정도
172,성능,컴퓨터과학/공학,명사,시스템이나 구성 요소가 기능을 수행하는 효율성이나 품질
173,세균,생물학/의학,명사,단세포 미생물로 일부는 질병을 일으킬 수 있음
174,세대,사회학,명사,비슷한 시기에 태어나 유사한 사회적 역사적 경험을 공유하는 사람들의 집단
